User,Shifting_Congruent_RT_Diff,Shifting_Incongruent_RT_Diff,Shifting_Congruent_FA_Diff,Shifting_Incongruent_FA_Diff,Memory_Hits_Diff,Memory_PR_Diff,Memory_Attempts_Diff,Memory_FA_Diff,Memory_Return_Efficiency_Diff
435,0.41683551585957057,0.20550517866022616,-0.0416666666666666,0.0625,0.0324419568822554,-0.07916666666666666,0.0491071428571428,0.10208333333333339,-0.1610576898431798
433,-0.04498093698045508,-0.0575424258725834,0.0,-0.012499999999999997,0.0,-0.011363636363636298,0.0,0.025,-0.03571428571428559
468,-0.1195229138568474,-0.0911648284017321,0.0,0.0625,0.0376080125687353,0.06546699438202258,0.03125,0.021666666666666702,-0.009680342075319426
432,-0.09989684354137632,-0.0895583837368927,0.0,-0.1708333333333334,0.0,0.027130149812734095,0.0,-0.028333333333333297,0.056453996454982835
431,0.3369565917248377,0.1765521956501948,0.0,-0.0208333333333333,0.0394736842105263,-0.02995563074565888,0.0,0.099280303030303,-0.20457719750027836
430,0.06810417589231227,-0.029991500168711993,0.0416666666666666,0.14583333333333331,0.0394736842105263,-0.14414315202587663,0.06249999999999999,0.2345833333333333,-0.25823441189276725
429,0.07089428244900259,0.0856020860557124,0.0416666666666666,0.0,0.0394736842105263,0.0035990168539326017,0.03125,0.0804166666666667,-0.1775777520404498
427,-0.3271615835544386,-0.1940830490471166,0.0,0.0625,-0.0008346425765907023,-0.05222378277153561,-0.0178571428571428,0.0475,-0.02556460871020827
426,0.03635028259567613,0.04606254094387019,0.0,-0.0666666666666666,0.0,-0.08057116104868911,-0.03125,0.0670833333333333,-0.09749209611990572
424,-0.1341780611338781,-0.1325231968454778,0.0416666666666666,-0.004166666666666596,0.0,0.0328758086482806,0.03125,-0.0433333333333333,0.05760024293728705
409,0.16532634816383493,0.1637209630327348,0.0416666666666666,0.0,0.0822750283669372,0.015625,0.0625,0.1258333333333333,-0.22610425835716152
421,-0.020373844943083586,0.030818963632589735,0.0,0.025,-0.0394736842105263,-0.028030303030303017,-0.03125,-0.030303030303030297,0.056503616231438625
420,-0.005230345379446999,-0.028885814894647144,0.0,-0.06250000000000011,0.0,0.002808988764045006,-0.03125,-0.0049999999999999,0.028834541062802033
419,0.255383631073086,0.20042546034966108,0.0,0.0499999999999999,0.0,-0.002808988764045006,0.0,0.0049999999999999,-0.028834541062802033
417,0.20262683805595913,0.3401675618602835,0.0,0.1374999999999999,0.0,0.029845505617977497,0.0,-0.028749999999999998,0.028423427795031153
407,0.1547816640713404,0.1090883396256049,0.0,0.0,0.1644736842105263,0.1184504809329247,0.15625,0.18625000000000008,-0.20557126536443282
408,-0.08095979115357749,-0.022891603498937818,0.0416666666666666,-0.1041666666666666,0.0394736842105263,0.0633836610486892,0.03125,0.0183333333333333,-0.04941510615285194
415,-0.0517796349316621,-0.004766443093120604,0.0,-0.0625,-0.0394736842105263,-0.055050327715355785,-0.03125,-0.028750000000000005,0.06719615718359617
413,0.11425465614188718,0.06608877819813536,0.0,0.07916666666666669,0.0,-0.07105464759959151,0.0,0.0688636363636364,-0.07669621290545203
412,-0.34515331058869164,-0.1931196579794508,0.0,0.11249999999999999,-0.0427031509121061,0.07607465100442629,-0.0178571428571428,-0.12189393939393939,0.2894468632720183
